Date, Open, High, Low, Close, Volume
12/05/17, 995.94, 1020.61, 988.28, 1005.15, 2067318
12/04/17, 1012.66, 1016.10, 995.57, 998.68, 1906439
12/01/17, 1015.80, 1022.49, 1002.02, 1010.17, 1909566
11/30/17, 1022.37, 1028.49, 1015.00, 1021.41, 1724031
11/29/17, 1042.68, 1044.08, 1015.65, 1021.66, 2459426
11/28/17, 1055.09, 1062.375, 1040.00, 1047.41, 1424394
11/27/17, 1040.00, 1055.46, 1038.44, 1054.21, 1307881
11/24/17, 1035.87, 1043.178, 1035.00, 1040.61, 536996
11/22/17, 1035.00, 1039.706, 1031.43, 1035.96, 746878
11/21/17, 1023.31, 1035.11, 1022.655, 1034.49, 1096999
11/20/17, 1020.26, 1022.61, 1017.50, 1018.38, 953470
11/17/17, 1034.01, 1034.42, 1017.75, 1019.09, 1397064
11/16/17, 1022.52, 1035.92, 1022.52, 1032.50, 1129688
11/15/17, 1019.21, 1024.09, 1015.42, 1020.91, 853992
11/14/17, 1022.59, 1026.81, 1014.15, 1026.00, 959222
11/13/17, 1023.42, 1031.58, 1022.57, 1025.75, 885779
11/10/17, 1026.46, 1030.76, 1025.28, 1028.07, 720676
11/09/17, 1033.99, 1033.99, 1019.666, 1031.26, 1245246
11/08/17, 1030.52, 1043.522, 1028.45, 1039.85, 1088716
11/07/17, 1027.27, 1033.97, 1025.13, 1033.33, 1112331
11/06/17, 1028.99, 1034.87, 1025.00, 1025.90, 1125185
11/03/17, 1022.11, 1032.65, 1020.31, 1032.48, 1076350
11/02/17, 1021.76, 1028.09, 1013.01, 1025.58, 1048970
11/01/17, 1017.21, 1029.67, 1016.95, 1025.50, 1373444
10/31/17, 1015.22, 1024.00, 1010.42, 1016.64, 1331391
10/30/17, 1014.00, 1024.97, 1007.50, 1017.11, 2085062
10/27/17, 1009.19, 1048.39, 1008.20, 1019.27, 5167689
10/26/17, 980.00, 987.60, 972.20, 972.56, 2042149
10/25/17, 968.37, 976.09, 960.5201, 973.33, 1211262
10/24/17, 970.00, 972.23, 961.00, 970.54, 1212153
10/23/17, 989.52, 989.52, 966.12, 968.45, 1478448
10/20/17, 989.44, 991.00, 984.58, 988.20, 1183186
10/19/17, 986.00, 988.88, 978.39, 984.45, 1313575
10/18/17, 991.77, 996.72, 986.9747, 992.81, 1057581
10/17/17, 990.29, 996.44, 988.59, 992.18, 1290186
10/16/17, 992.10, 993.9065, 984.00, 992.00, 910543
10/13/17, 992.00, 997.21, 989.00, 989.68, 1169777
10/12/17, 987.45, 994.12, 985.00, 987.83, 1262793
10/11/17, 973.72, 990.71, 972.25, 989.25, 1693274
10/10/17, 980.00, 981.57, 966.0801, 972.60, 968362
10/09/17, 980.00, 985.425, 976.11, 977.00, 891355
10/06/17, 966.70, 979.46, 963.36, 978.89, 1173882
10/05/17, 955.49, 970.91, 955.18, 969.96, 1213816
10/04/17, 957.00, 960.39, 950.69, 951.68, 952391
10/03/17, 954.00, 958.00, 949.14, 957.79, 888346
10/02/17, 959.98, 962.54, 947.84, 953.27, 1283444
09/29/17, 952.00, 959.7864, 951.51, 959.11, 1580994
